kód,adm1_code,iso_3166_2,kraj,datum,datum-7,"dnes (ČR: 17,2)",dnes,dnes-7,změna,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,9.11.24,16.11.24,23.11.24,30.11.24,7.12.24,14.12.24,21.12.24,28.12.24,4.1.25,11.1.25,18.1.25,25.1.25,1.2.25,8.2.25,15.2.25,22.2.25,1.3.25,8.3.25,15.3.25,22.3.25,29.3.25,5.4.25,12.4.25,19.4.25,26.4.25,3.5.25,10.5.25,17.5.25,24.5.25,31.5.25,7.6.25,14.6.25,21.6.25,28.6.25,5.7.25,12.7.25,19.7.25,26.7.25,2.8.25,9.8.25,16.8.25,23.8.25,30.8.25,6.9.25,13.9.25,20.9.25,27.9.25,4.10.25,11.10.25,18.10.25,25.10.25,1.11.25,2.11.25,3.11.25,4.11.25,5.11.25,6.11.25,7.11.25,8.11.25
CZ010,CZE-1595,CZ-PR,Praha,8. 11. 2025,1. 11. 2025,"13,0","13,0","13,6","-0,6",26,41,22,22,29,20,22,8,11,12,9,10,9,9,6,4,4,5,5,5,5,6,5,5,2,3,3,3,3,13,7,6,7,7,9,5,9,13,8,11,17,17,25,38,53,75,100,84,94,39,53,28,"12,7","20,4","10,7","10,9","14,3","9,7","11,1","4,0","5,5","5,7","4,6","4,7","4,4","4,3","2,8","2,0","2,1","2,2","2,5","2,2","2,5","3,0","2,4","2,4","0,7","1,3","1,4","1,4","1,7","6,4","3,6","3,1","3,5","3,5","4,2","2,5","4,3","6,2","4,1","5,4","8,5","8,5","12,4","18,7","26,4","36,8","49,3","41,3","46,1","19,1","26,1","13,6","13,4","14,0","17,2","14,6","13,3","12,8","13,0"
CZ020,CZE-1596,CZ-ST,Středočeský,8. 11. 2025,1. 11. 2025,"12,6","12,6","15,7","-3,1",30,32,27,26,26,16,22,7,11,12,6,10,11,8,7,8,6,5,11,3,17,8,2,3,3,2,2,3,4,5,6,5,4,5,6,6,5,5,6,9,13,14,20,31,51,79,100,95,93,45,52,33,"14,3","15,0","12,5","12,0","12,1","7,7","10,5","3,4","5,2","5,6","2,6","4,8","5,2","3,9","3,2","3,7","2,9","2,4","5,4","1,6","7,8","3,9","1,1","1,2","1,2","0,7","0,8","1,4","1,7","2,2","2,9","2,1","2,1","2,6","2,8","2,7","2,4","2,4","2,7","4,0","6,0","6,4","9,2","14,4","24,1","37,1","46,9","44,8","43,6","21,2","24,2","15,7","15,5","15,3","18,5","16,9","14,5","13,0","12,6"
CZ031,CZE-1593,CZ-JC,Jihočeský,8. 11. 2025,1. 11. 2025,"20,8","20,8","19,3","1,6",36,29,29,25,24,22,22,11,8,12,6,7,12,10,3,4,8,3,4,2,3,3,2,2,1,2,1,1,2,2,3,4,3,2,4,3,2,6,3,6,8,11,12,27,47,73,96,92,100,59,71,33,"21,0","16,9","16,8","14,8","13,8","12,7","13,1","6,7","5,0","7,1","3,4","3,9","7,1","5,6","1,7","2,2","4,5","2,0","2,5","1,4","1,9","1,9","1,2","1,2","0,5","0,9","0,6","0,3","1,1","1,2","1,9","2,6","1,6","1,2","2,5","1,7","1,4","3,3","1,7","3,4","4,5","6,4","7,0","16,0","27,3","42,9","56,4","54,2","58,7","34,8","41,5","19,3","19,1","19,4","23,3","24,1","21,6","20,8","20,8"
CZ032,CZE-10369,CZ-PL,Plzeňský,8. 11. 2025,1. 11. 2025,"17,3","17,3","17,3","0,0",39,27,25,21,19,17,15,8,8,12,9,12,12,9,10,3,5,2,5,4,2,2,3,3,3,1,1,1,3,4,4,7,7,7,9,5,5,4,7,8,12,13,27,34,53,68,94,97,100,62,69,32,"21,0","14,4","13,2","11,3","10,3","9,3","7,8","4,1","4,2","6,6","5,1","6,3","6,3","5,1","5,2","1,9","2,5","1,2","2,9","2,0","0,8","1,2","1,7","1,9","1,5","0,3","0,7","0,7","1,5","2,0","2,0","3,7","3,9","3,9","4,6","2,5","2,7","2,0","3,9","4,1","6,6","6,9","14,4","18,3","28,4","36,4","50,2","52,1","53,6","33,3","36,9","17,3","16,9","17,1","20,3","18,4","17,8","17,4","17,3"
CZ041,CZE-1590,CZ-KA,Karlovarský,8. 11. 2025,1. 11. 2025,"10,6","10,6","10,6","0,0",32,27,31,29,19,17,26,2,8,14,12,8,6,4,1,5,5,3,1,1,2,1,2,2,2,0,2,2,3,2,1,2,2,6,26,0,3,3,4,4,8,5,6,13,35,74,92,71,100,37,55,33,"10,2","8,5","9,9","9,2","6,1","5,5","8,2","0,7","2,4","4,4","3,8","2,4","2,0","1,4","0,3","1,7","1,7","1,0","0,3","0,3","0,7","0,3","0,7","0,7","0,7","0,0","0,7","0,7","1,0","0,7","0,3","0,7","0,7","2,0","8,2","0,0","1,0","1,0","1,4","1,4","2,4","1,7","2,0","4,1","11,3","23,5","29,3","22,5","31,7","11,6","17,4","10,6","10,6","9,5","13,0","11,6","9,9","10,2","10,6"
CZ042,CZE-10368,CZ-US,Ústecký,8. 11. 2025,1. 11. 2025,"13,3","13,3","12,1","1,2",37,32,33,26,29,25,25,8,11,12,8,9,9,6,4,2,6,2,5,4,3,4,2,2,2,2,1,1,3,4,4,3,2,2,1,4,4,3,6,11,10,10,13,26,37,83,96,91,100,49,62,28,"16,0","13,7","14,2","11,5","12,5","10,6","10,9","3,3","4,9","5,0","3,3","3,8","4,0","2,8","1,6","1,0","2,8","1,0","2,0","1,6","1,2","1,6","1,0","0,7","0,7","0,9","0,4","0,4","1,3","1,6","1,7","1,2","0,9","0,9","0,6","1,8","1,7","1,3","2,4","4,9","4,4","4,4","5,8","11,1","15,9","36,0","41,6","39,5","43,5","21,4","27,0","12,1","12,1","14,2","16,2","14,3","13,7","13,5","13,3"
CZ051,CZE-1597,CZ-LI,Liberecký,8. 11. 2025,1. 11. 2025,"15,4","15,4","10,6","4,7",35,24,28,21,22,24,28,8,16,11,7,8,8,6,6,4,3,3,3,5,6,2,2,5,3,1,1,1,3,3,3,3,4,4,2,4,1,2,3,4,6,11,22,31,42,78,100,95,94,57,54,20,"18,3","12,4","14,9","11,3","11,5","12,7","14,7","4,1","8,6","5,6","3,6","4,1","4,3","3,4","3,4","2,0","1,6","1,4","1,8","2,7","2,9","1,1","1,1","2,7","1,4","0,5","0,5","0,7","1,8","1,6","1,8","1,4","2,3","2,3","1,1","2,3","0,7","1,1","1,4","2,3","3,2","5,6","11,5","16,5","22,1","41,1","52,9","50,2","49,5","30,3","28,5","10,6","10,6","13,1","16,3","14,5","16,0","15,4","15,4"
CZ052,CZE-1598,CZ-KR,Královéhradecký,8. 11. 2025,1. 11. 2025,"17,6","17,6","26,0","-8,4",34,20,28,24,26,25,23,12,16,15,11,9,11,12,11,7,6,5,5,4,3,1,1,1,1,1,1,2,1,3,5,4,5,5,10,3,3,3,5,7,6,10,19,25,38,59,87,85,100,43,47,35,"25,6","15,1","20,7","17,8","19,4","18,5","17,6","9,3","11,8","11,3","8,4","7,1","8,5","8,7","8,5","5,3","4,4","3,8","3,8","2,9","2,2","1,1","0,7","1,1","0,7","0,7","1,1","1,6","0,7","2,2","3,6","2,7","4,0","3,4","7,6","2,5","2,5","2,4","3,8","4,9","4,5","7,6","14,5","18,5","28,1","44,3","65,0","63,5","75,0","32,0","35,4","26,0","26,1","22,5","24,3","20,5","17,8","18,0","17,6"
CZ053,CZE-10373,CZ-PA,Pardubický,8. 11. 2025,1. 11. 2025,"22,2","22,2","22,6","-0,4",25,26,25,19,15,11,15,7,8,8,4,9,8,7,2,5,5,6,4,7,3,4,3,3,2,2,1,4,1,1,3,3,3,2,5,5,4,3,7,4,7,7,15,20,39,60,100,88,97,47,61,31,"17,8","19,1","18,2","13,4","10,5","7,6","10,7","4,8","5,9","5,7","3,3","6,5","6,1","5,4","1,3","3,8","3,4","4,2","3,3","5,0","2,5","3,3","1,9","2,1","1,1","1,3","0,8","2,7","0,4","0,8","1,9","2,5","2,5","1,7","3,8","3,4","3,3","2,5","5,2","3,1","4,8","5,4","10,9","14,7","28,1","43,2","72,3","63,9","70,2","34,2","43,8","22,6","22,6","23,3","28,3","23,1","23,9","22,6","22,2"
CZ063,CZE-1594,CZ-VY,Vysočina,8. 11. 2025,1. 11. 2025,"24,6","24,6","24,4","0,2",33,30,24,21,20,19,21,10,10,10,7,7,7,5,3,2,5,3,2,2,2,3,3,2,2,1,3,1,1,2,2,1,2,4,3,3,4,4,6,5,5,8,17,21,40,60,82,86,100,52,58,36,"22,6","20,4","16,7","14,1","14,0","12,8","14,5","6,9","6,9","6,9","5,1","4,9","4,9","3,7","2,2","1,4","3,1","2,2","1,4","1,4","1,6","2,0","2,4","1,6","1,4","0,4","1,8","0,8","0,8","1,4","1,4","0,8","1,6","2,6","1,8","2,4","2,9","2,6","4,3","3,3","3,3","5,7","11,6","14,3","27,1","41,1","56,2","58,6","68,4","35,8","39,7","24,4","24,2","27,5","31,2","25,7","23,0","24,2","24,6"
